iso3,2019
AFE,206
AFG,157
AFW,208
AGO,183
ALB,88
AND,1
ARB,143
ARE,46
ARG,49
ARM,55
ATG,45
AUS,1
AUT,1
AZE,65
BDI,236
BEL,1
BEN,218
BFA,220
BGD,173
BGR,82
BHR,1
BHS,1
BIH,92
BLR,51
BLZ,136
BOL,145
BRA,106
BRB,40
BRN,1
BTN,97
BWA,161
CAF,235
CAN,1
CEB,66
CHE,1
CHL,75
CHN,94
CIV,185
CMR,187
COD,223
COG,193
COL,110
COM,190
CPV,142
CRI,109
CSS,122
CUB,121
CYP,1
CZE,54
DEU,1
DJI,201
DMA,79
DNK,1
DOM,80
DZA,111
EAP,146
EAR,158
EAS,141
ECA,108
ECS,100
ECU,64
EGY,53
EMU,39
ERI,199
ESP,1
EST,73
ETH,216
EUU,44
FCS,190
FIN,1
FJI,102
FRA,1
FSM,188
GAB,144
GBR,1
GEO,87
GHA,176
GIN,221
GMB,213
GNB,226
GNQ,177
GRC,70
GRD,113
GTM,155
GUY,147
HIC,93
HND,153
HPC,214
HRV,74
HTI,217
HUN,1
IBD,135
IBT,161
IDA,188
IDB,180
IDN,137
IDX,195
IND,153
IRL,1
IRN,47
IRQ,52
ISL,1
ISR,1
ITA,1
JAM,116
JOR,43
JPN,1
KAZ,67
KEN,192
KGZ,119
KHM,172
KIR,115
KNA,1
KOR,56
KWT,1
LAC,129
LAO,114
LBR,234
LCA,103
LCN,126
LDC,202
LIC,215
LKA,104
LMC,168
LMY,166
LSO,193
LTE,133
LTU,1
LUX,1
LVA,68
MAR,104
MCO,1
MDA,76
MDG,233
MDV,71
MEA,117
MEX,86
MHL,139
MIC,151
MKD,91
MLI,219
MLT,1
MMR,185
MNA,118
MNE,89
MNG,149
MOZ,221
MRT,183
MUS,72
MWI,228
MYS,58
NAC,1
NAM,178
NER,228
NGA,211
NIC,163
NLD,1
NOR,1
NPL,170
NRU,78
NZL,1
OED,99
OMN,69
OSS,167
PAK,170
PAN,131
PER,134
PHL,156
PLW,83
PNG,196
POL,1
PRE,203
PRK,210
PRT,1
PRY,90
PSS,174
PST,95
QAT,47
ROU,85
RUS,50
RWA,232
SAS,163
SAU,62
SDN,181
SEN,175
SGP,1
SLB,198
SLE,230
SLV,84
SMR,1
SOM,223
SRB,124
SSA,207
SSD,237
SSF,204
SST,159
STP,182
SUR,128
SVK,57
SVN,59
SWE,1
SWZ,169
SYC,81
SYR,111
TCD,230
TEA,138
TEC,107
TGO,212
THA,123
TJK,124
TKM,96
TLA,127
TLS,179
TMN,119
TON,139
TSA,163
TSS,204
TTO,41
TUN,42
TUV,98
TZA,223
UGA,226
UKR,63
UMC,130
URY,100
USA,1
UZB,77
VCT,61
VEN,60
VNM,132
VUT,197
WLD,152
WSM,150
YEM,159
ZAF,148
ZMB,208
ZWE,199
